Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerC,3,54
258.6964,TowerD,3,54
337.9928,TowerB,3,54
779.8184,TowerB,3,54
780.1588,TowerA,3,54
846.8839,TowerB,3,50
919.2945,TowerA,3,42
986.0196,TowerB,3,42
1057.429,TowerA,3,40
1124.154,TowerB,3,40
1195.564,TowerA,3,40
1262.289,TowerB,3,40
1333.699,TowerA,3,40
1400.424,TowerB,3,40
1471.833,TowerA,3,40
1538.559,TowerB,3,40
1609.968,TowerA,3,40
1676.693,TowerB,3,40
1749.104,TowerA,3,40
1815.829,TowerB,3,40
1888.56,TowerA,3,38
1955.305,TowerB,3,38
2026.375,TowerA,3,37
