Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerD,3,40
384.5672,TowerC,3,40
467.8614,TowerC,3,33
475.5172,TowerA,3,40
825.1426,TowerA,3,40
835.1524,TowerA,3,39
844.8218,TowerA,3,37
854.4913,TowerA,3,36
863.8404,TowerA,3,34
873.1895,TowerA,3,33
882.1983,TowerA,3,31
890.5264,TowerA,3,26
898.5342,TowerA,3,24
905.8814,TowerA,3,23
912.8882,TowerA,3,22
919.5547,TowerA,3,22
926.2413,TowerA,3,21
932.9078,TowerA,3,21
939.5743,TowerA,3,20
946.2608,TowerA,3,20
952.587,TowerA,3,19
958.9332,TowerA,3,19
965.2794,TowerA,3,19
971.2852,TowerA,3,17
977.2911,TowerA,3,16
982.6163,TowerB,3,14
1053.686,TowerB,3,13
1056.028,TowerB,3,13
1057.369,TowerB,3,13
1058.69,TowerB,3,13
1059.691,TowerB,3,13
1061.033,TowerB,3,13
1062.374,TowerB,3,13
1063.375,TowerB,3,13
1064.696,TowerB,3,13
1066.038,TowerB,3,13
1067.379,TowerB,3,13
1068.38,TowerB,3,13
1069.701,TowerB,3,13
1071.042,TowerB,3,13
1072.043,TowerB,3,13
1073.385,TowerB,3,13
1074.706,TowerB,3,13
1076.047,TowerB,3,13
1077.048,TowerB,3,13
1078.39,TowerB,3,13
1079.711,TowerB,3,13
1081.052,TowerB,3,13
1082.053,TowerB,3,13
1083.395,TowerB,3,13
1084.716,TowerB,3,13
1085.717,TowerB,3,13
1087.058,TowerB,3,13
1088.399,TowerB,3,13
1089.4,TowerB,3,13
1090.722,TowerB,3,13
1092.063,TowerB,3,13
1093.064,TowerB,3,13
1094.405,TowerB,3,12
1095.727,TowerB,3,12
1097.068,TowerB,3,12
1098.069,TowerB,3,12
1099.07,TowerB,3,12
1100.411,TowerB,3,12
1101.412,TowerB,3,12
1102.733,TowerB,3,12
1103.734,TowerB,3,12
1104.735,TowerB,3,12
1106.077,TowerB,3,12
1107.418,TowerB,3,12
1108.739,TowerB,3,12
1110.081,TowerB,3,12
1111.082,TowerB,3,12
1112.423,TowerB,3,12
1113.744,TowerB,3,12
1115.085,TowerB,3,12
1116.086,TowerB,3,12
1117.428,TowerB,3,12
1118.749,TowerB,3,12
1119.75,TowerB,3,12
1121.091,TowerB,3,12
1122.433,TowerB,3,12
1123.754,TowerB,3,12
1125.095,TowerB,3,12
1126.437,TowerB,3,12
1127.438,TowerB,3,12
1128.759,TowerB,3,11
1129.76,TowerB,3,10
1130.761,TowerB,3,10
1132.102,TowerB,3,10
1133.443,TowerB,3,10
1134.444,TowerB,3,10
1135.766,TowerB,3,10
1137.107,TowerB,3,9
1138.108,TowerB,3,9
1139.449,TowerB,3,9
1140.771,TowerB,3,9
1141.771,TowerB,3,9
1143.113,TowerB,3,9
1144.454,TowerB,3,9
1145.455,TowerB,3,9
1146.776,TowerB,3,9
1148.118,TowerB,3,9
1149.459,TowerB,3,9
1150.78,TowerB,3,9
1151.781,TowerB,3,9
1153.123,TowerB,3,9
1154.464,TowerB,3,9
1155.465,TowerB,3,9
1156.786,TowerB,3,9
1158.127,TowerB,3,9
1159.128,TowerD,3,9
1596.896,TowerD,3,9
1599.898,TowerD,3,9
1602.901,TowerD,3,9
1605.904,TowerD,3,9
1608.907,TowerD,3,9
1611.91,TowerD,3,9
1614.913,TowerD,3,9
1617.916,TowerD,3,9
1620.919,TowerD,3,9
1623.922,TowerD,3,9
1626.925,TowerD,3,9
1629.928,TowerD,3,9
1632.931,TowerD,3,9
1635.934,TowerD,3,9
1638.937,TowerD,3,9
1641.939,TowerD,3,9
1644.942,TowerD,3,9
1647.945,TowerD,3,9
1650.948,TowerD,3,9
1653.951,TowerD,3,9
1656.954,TowerD,3,9
1659.957,TowerD,3,9
1662.96,TowerD,3,9
1665.963,TowerD,3,9
1668.966,TowerD,3,9
1671.969,TowerD,3,9
1674.972,TowerD,3,9
1677.975,TowerD,3,9
1680.978,TowerD,3,9
1683.98,TowerD,3,9
1686.983,TowerD,3,9
1689.986,TowerD,3,9
1692.989,TowerD,3,9
1695.992,TowerD,3,9
1698.995,TowerD,3,9
1701.998,TowerD,3,9
1705.001,TowerD,3,9
1708.004,TowerD,3,9
1711.007,TowerD,3,9
1714.01,TowerD,3,9
1717.013,TowerD,3,9
1720.016,TowerD,3,9
1723.019,TowerD,3,9
1726.021,TowerD,3,9
1729.024,TowerD,3,9
1732.027,TowerD,3,9
1735.03,TowerD,3,9
1738.033,TowerD,3,9
1741.036,TowerD,3,9
1744.039,TowerD,3,9
1747.042,TowerD,3,9
1750.045,TowerD,3,9
1753.048,TowerD,3,9
1756.051,TowerD,3,9
1759.054,TowerD,3,9
1762.057,TowerD,3,9
1765.06,TowerD,3,9
1768.063,TowerD,3,9
1771.065,TowerD,3,9
1774.068,TowerD,3,9
1777.071,TowerD,3,9
1780.074,TowerD,3,9
1783.077,TowerD,3,9
1786.08,TowerD,3,9
1789.083,TowerD,3,9
1792.086,TowerD,3,9
1795.089,TowerD,3,9
1798.092,TowerD,3,9
1801.095,TowerD,3,9
1804.098,TowerD,3,9
1807.101,TowerD,3,9
1810.104,TowerD,3,9
1813.106,TowerD,3,9
1816.109,TowerD,3,9
1819.112,TowerD,3,9
1822.115,TowerD,3,9
1825.118,TowerB,3,8
