Limit Time,End Time Sec,Total Evacuee Count,Drone Count,Final Evacuate Rate
1997.074,1997.074,200,4,0.755
2105.441,2105.441,200,4,0.95
2059.041,1468.09,200,4,1
2081.147,2081.147,200,4,0.995
2090.95,2090.95,200,4,0.795
1806.701,1806.701,200,4,0.9
1965.861,1329.475,200,4,1
2090.045,1292.639,200,4,1
2285.915,1424.768,200,4,1
2068.138,2068.138,200,4,0.87
2025.495,2025.495,200,4,0.775
1815.707,1314.42,200,4,1
2352.107,1419.763,200,4,1
2032.151,2032.151,200,4,0.93
1939.346,1231.779,200,4,1
2173.176,2173.176,200,4,0.825
2029.243,1236.904,200,4,1
1878.257,1249.597,200,4,1
2221.202,1265.612,200,4,1
1948.506,1337.002,200,4,1
2102.401,2102.401,200,4,0.96
1881.024,1881.024,200,4,0.81
2232.835,1249.136,200,4,1
2122.704,2122.704,200,4,0.725
2311.188,2311.188,200,4,0.815
2384.991,1277.804,200,4,1
1863.809,1378.062,200,4,1
2338.453,1379.383,200,4,1
2284.586,2284.586,200,4,0.995
2307.877,1388.092,200,4,1
2238.658,1442.785,200,4,1
2242.756,1238.586,200,4,1
2052.986,1586.926,200,4,1
2131.894,1367.372,200,4,1
2157.356,1406.089,200,4,1
2056.89,1365.049,200,4,1
1914.678,1408.412,200,4,1
1968.945,1275.622,200,4,1
2233.708,2233.708,200,4,0.995
2313.362,1203.071,200,4,1
2373.167,2373.167,200,4,0.995
2206.493,1267.794,200,4,1
2217.034,2217.034,200,4,0.96
2206.343,2206.343,200,4,0.845
2248.793,2248.793,200,4,0.855
2237.579,2237.579,200,4,0.74
2024.116,1534.975,200,4,1
2140.703,1305.651,200,4,1
2333.182,1419.422,200,4,1
2123.34,1294.641,200,4,1
2098.431,1360.365,200,4,1
2131.506,1275.622,200,4,1
2147.064,2147.064,200,4,0.775
2325.891,2306.368,200,4,1
2135.586,1334.019,200,4,1
2222.095,1380.044,200,4,1
2105.301,1256.604,200,4,1
2144.09,1333.699,200,4,1
1829.853,1438.101,200,4,1
2200.84,1361.386,200,4,1
1881.54,1308.654,200,4,1
2381.599,2381.599,200,4,0.995
1898.418,1382.827,200,4,1
2183.958,2183.958,200,4,0.87
1984.624,1984.624,200,4,0.96
2142.323,1360.585,200,4,1
1941.375,1506.507,200,4,1
2042.048,2042.048,200,4,0.975
2137.567,2137.567,200,4,0.995
2166.492,1255.142,200,4,1
2258.437,1427.11,200,4,1
2355.676,1387.071,200,4,1
1837.773,1414.077,200,4,1
2280.747,1283.63,200,4,1
2178.1,1437.12,200,4,1
1850.621,1210.559,200,4,1
2036.526,1221.229,200,4,1
1844.121,1157.507,200,4,1
2263.451,1397.421,200,4,1
1824.399,1325.331,200,4,1
2100.923,1277.284,200,4,1
2309.584,2309.584,200,4,0.995
2234.258,2234.258,200,4,0.97
2258.069,1409.413,200,4,1
2043.103,1416.76,200,4,1
1908.11,1908.11,200,4,0.99
2002.808,2002.808,200,4,0.985
2355.004,2355.004,200,4,0.995
