Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerC,3,66
234.7533,TowerA,1,66
1296.082,TowerA,3,47
1297.043,TowerA,3,47
1297.984,TowerA,3,47
1298.965,TowerA,3,47
1299.826,TowerA,3,47
1300.687,TowerA,3,46
1301.567,TowerA,3,46
1302.468,TowerA,3,45
1303.509,TowerA,3,45
1304.63,TowerA,3,45
1305.651,TowerA,3,42
1306.672,TowerA,3,37
1307.793,TowerA,3,28
1308.915,TowerA,3,3
1309.956,TowerA,3,1
1310.917,TowerA,3,1
1311.837,TowerA,3,1
1312.678,TowerA,3,1
1313.479,TowerA,3,1
1314.4,TowerA,3,1
1315.341,TowerA,3,1
1316.182,TowerA,3,1
1317.123,TowerA,3,1
1318.244,TowerA,3,1
