Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1921.005,1921.005,200,4,0.755
1842.488,1796.09,200,4,1
1938.35,1938.35,200,4,0.345
2171.232,2171.232,200,4,0.845
1879.846,1879.846,200,4,0.81
2226.335,2226.335,200,4,0.675
1806.854,1593.572,200,4,1
2295.396,2295.396,200,4,0.755
1991.618,1991.618,200,4,0.625
1920.885,1920.885,200,4,0.765
1985.091,1985.091,200,4,0.735
2246.654,2246.654,200,4,0.94
1869.805,1869.805,200,4,0.585
2344.745,2344.745,200,4,0.955
1848.562,1848.562,200,4,0.67
2277.354,2277.354,200,4,0.935
2106.807,2106.807,200,4,0.75
2089.542,1630.308,200,4,1
2047.493,2047.493,200,4,0.73
2100.621,1764.519,200,4,1
2113.894,2113.894,200,4,0.9
2263.237,2263.237,200,4,0.765
2021.84,2021.84,200,4,0.74
1989.824,1989.824,200,4,0.76
1844.229,1844.229,200,4,0.52
1804.574,1804.574,200,4,0.76
2167.137,2167.137,200,4,0.52
1844.834,1844.834,200,4,0.685
1900.15,1900.15,200,4,0.75
1861.248,1861.248,200,4,0.585
