Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerB,3.5,59
182.7222,TowerB,3.5,59
219.5101,TowerB,3.5,49
251.4769,TowerB,3.5,38
278.0058,TowerA,3.5,41
363.4788,TowerA,3.5,58
364.3383,TowerA,3.5,58
365.2578,TowerA,3.5,58
366.1773,TowerA,3.5,58
367.1168,TowerA,3.5,58
368.0363,TowerA,3.5,58
368.9558,TowerA,3.5,58
369.8553,TowerA,3.5,58
370.8947,TowerA,3.5,58
371.9341,TowerA,3.5,58
373.1935,TowerA,3.5,58
374.3328,TowerA,3.5,58
375.3922,TowerA,3.5,58
376.4117,TowerA,3.5,58
377.591,TowerA,3.5,58
378.7504,TowerA,3.5,58
379.7898,TowerA,3.5,58
380.8293,TowerA,3.5,58
381.9686,TowerA,3.5,58
382.9881,TowerA,3.5,58
384.0675,TowerA,3.5,58
385.1469,TowerA,3.5,56
386.1263,TowerA,3.5,54
387.1858,TowerA,3.5,51
388.2252,TowerA,3.5,47
389.1647,TowerA,3.5,45
390.1841,TowerA,3.5,45
391.2235,TowerA,3.5,43
392.163,TowerA,3.5,43
393.1225,TowerA,3.5,42
394.2019,TowerA,3.5,42
395.2813,TowerA,3.5,42
396.3407,TowerA,3.5,41
397.66,TowerC,3.5,41
702.543,TowerC,3.5,31
703.4639,TowerC,3.5,31
704.3648,TowerC,3.5,31
705.2256,TowerC,3.5,31
706.0264,TowerC,3.5,31
706.8272,TowerC,3.5,31
707.668,TowerC,3.5,31
708.4888,TowerC,3.5,31
709.5098,TowerC,3.5,31
710.3506,TowerC,3.5,31
711.1314,TowerC,3.5,31
712.0323,TowerC,3.5,31
712.9532,TowerC,3.5,31
713.794,TowerC,3.5,31
714.6749,TowerC,3.5,31
715.4756,TowerC,3.5,31
716.2564,TowerC,3.5,31
717.0772,TowerC,3.5,31
717.9581,TowerC,3.5,31
718.7989,TowerC,3.5,31
719.7598,TowerC,3.5,31
720.6407,TowerC,3.5,31
721.6817,TowerC,3.5,31
722.963,TowerC,3.5,31
724.3043,TowerC,3.5,31
725.4654,TowerC,3.5,31
726.5064,TowerC,3.5,31
727.5074,TowerC,3.5,31
728.5284,TowerC,3.5,31
729.4893,TowerC,3.5,31
730.4903,TowerC,3.5,31
731.3712,TowerC,3.5,31
732.232,TowerC,3.5,31
733.1329,TowerC,3.5,31
734.0538,TowerC,3.5,31
734.9547,TowerC,3.5,31
735.8555,TowerC,3.5,31
736.7764,TowerC,3.5,31
737.6773,TowerC,3.5,31
738.6382,TowerC,3.5,31
739.5191,TowerC,3.5,31
740.3799,TowerC,3.5,31
741.3008,TowerC,3.5,31
742.2217,TowerC,3.5,31
743.1627,TowerC,3.5,31
744.0235,TowerC,3.5,31
744.8843,TowerC,3.5,31
745.6851,TowerC,3.5,31
746.5259,TowerC,3.5,31
747.3067,TowerC,3.5,31
748.2476,TowerC,3.5,31
749.2286,TowerC,3.5,31
750.3697,TowerC,3.5,31
751.3907,TowerC,3.5,31
752.3116,TowerC,3.5,31
753.1724,TowerC,3.5,31
753.9732,TowerC,3.5,31
754.794,TowerC,3.5,31
755.5547,TowerC,3.5,31
756.3555,TowerC,3.5,31
757.2964,TowerC,3.5,31
