Elapsed Sec,Evacuee Count
0.8799993,0
7.539993,0
10.46005,0
12.24009,0
13.58012,0
14.66014,0
15.66017,0
16.62019,0
17.64021,0
18.68024,0
19.68026,0
20.62028,0
21.5403,0
22.50032,0
23.56035,0
24.60037,0
25.6404,0
26.62042,0
27.58044,0
28.50046,0
29.38048,0
30.2405,0
31.14052,0
32.02054,0
32.94056,0
33.86058,0
34.78061,0
35.76063,0
36.78065,0
37.72067,0
38.62069,0
39.50071,0
40.40073,0
41.26075,0
42.22078,0
43.4608,0
44.54083,0
45.62085,0
46.62088,0
47.5809,0
48.50092,0
49.36094,0
50.20096,0
51.06098,0
51.961,0
52.94102,0
53.88104,0
54.86106,0
55.74109,0
56.62111,0
57.48112,0
58.32114,0
59.14116,0
59.98118,0
60.8612,0
61.76122,0
62.78125,0
63.92127,0
64.88113,0
65.92095,0
67.04076,0
68.40054,0
69.74031,0
70.92011,0
72.1999,0
73.31971,0
74.37953,0
75.37936,0
76.3392,0
77.27905,0
78.25888,0
79.21872,0
80.17856,0
81.0984,0
82.01825,0
82.99809,0
83.95792,0
84.87777,0
85.77762,0
86.65747,0
87.51733,0
88.37718,0
89.29703,0
90.15688,0
91.13672,0
92.29652,0
93.43633,0
94.57614,0
95.81593,0
96.99574,0
98.05556,0
99.0154,0
99.99523,0
100.9951,0
101.9549,0
102.9147,0
103.8746,0
104.8944,0
105.8343,0
106.7541,0
107.6939,0
108.6138,0
109.5736,0
110.5535,0
111.5933,0
112.6531,0
113.7529,0
114.8127,0
115.8326,0
116.8924,0
118.0122,0
119.292,0
120.3918,0
121.4916,0
122.4515,0
123.3913,0
124.3311,0
125.271,0
126.2308,0
127.1707,0
128.1105,0
129.0307,0
129.9509,0
130.9912,0
132.0314,0
133.1116,0
134.1118,0
135.072,0
136.0322,0
136.9524,0
137.8526,0
138.7328,0
139.653,0
140.5332,0
141.4934,0
142.6737,0
143.9339,0
145.1542,0
146.3544,0
147.4347,0
148.4349,0
149.3951,0
150.3353,0
151.3555,0
152.3357,0
153.396,0
154.4762,0
155.5564,0
156.6366,0
157.6969,0
158.7371,0
159.7973,0
160.8375,0
161.8378,0
162.818,0
163.8782,4
164.8984,4
165.9186,4
166.9388,4
168.2591,6
169.7594,6
171.0197,6
172.3,6
173.5403,8
174.7805,10
176.0608,10
177.261,11
178.2813,11
179.3415,12
180.4217,15
181.3819,15
182.3821,15
183.4624,16
184.5026,17
185.6428,17
186.7431,17
187.7233,17
188.7835,17
189.8437,17
190.7839,17
191.8242,18
193.0444,20
194.4647,20
195.945,20
197.2653,20
198.4856,20
199.7058,20
201.1662,20
202.6065,20
204.0068,21
205.247,21
206.3673,22
207.4875,22
208.6077,23
209.648,23
210.7282,24
211.7684,24
212.7886,24
214.0089,24
215.1291,25
216.1694,26
217.3096,27
218.5899,27
219.7901,27
221.0904,27
222.4507,27
223.731,28
224.9112,28
226.0115,28
227.0517,28
228.1719,28
229.2321,28
230.2324,28
231.1726,28
232.1128,28
233.073,28
234.0332,28
235.2534,28
236.2737,28
237.2539,28
238.1941,28
239.0742,29
239.9744,29
240.8546,29
241.8748,30
242.9351,30
244.0353,30
245.2956,30
246.8359,32
248.1762,35
249.4165,37
250.6167,37
251.6169,38
252.7372,40
253.9374,41
255.0977,41
256.2977,44
257.497,45
258.5764,46
259.7158,46
260.8152,46
261.8147,48
262.9141,50
264.0934,50
265.0729,50
266.1323,50
267.1517,50
268.0712,50
268.9907,50
270.0302,50
272.3889,50
273.908,50
275.2473,50
276.4666,50
277.506,50
278.4855,50
279.425,50
280.3845,50
281.3239,50
282.2634,50
283.2029,50
284.2024,50
285.1618,50
286.1413,50
287.0608,50
288.0003,50
288.9597,50
289.9392,50
290.9786,50
291.9381,50
292.8976,50
293.8571,50
294.8365,50
295.776,50
296.8754,50
298.1347,50
299.2941,50
300.3935,50
301.4529,50
302.4523,50
303.4318,50
304.3913,50
305.2908,50
306.1503,50
307.0098,50
307.8094,50
308.589,50
309.3885,50
310.1681,50
311.0076,50
311.9471,50
312.8466,50
313.7261,50
314.5857,50
315.4452,50
316.3647,50
317.2442,50
318.1237,50
318.9633,50
319.8028,50
320.6623,50
321.6018,50
322.6212,50
323.7206,50
324.8,50
325.8994,50
326.8789,50
327.7784,50
328.6379,50
329.4775,50
330.357,50
331.1965,50
332.076,50
333.0555,50
334.1749,50
335.2543,50
336.3337,50
337.2732,50
338.3726,50
339.3521,50
340.2316,50
341.0511,50
341.9306,50
342.7702,50
343.6497,50
344.5292,50
345.4887,50
346.4482,50
347.4876,50
348.587,50
349.5864,50
350.5459,50
351.4854,50
352.3649,50
353.2844,50
354.2039,50
355.0634,50
355.9429,50
356.8624,50
357.7619,50
358.8014,50
359.6809,50
360.4804,50
361.28,50
362.0796,50
362.8791,50
363.6987,50
364.5782,50
365.4977,50
366.3572,50
367.2367,50
368.3161,50
369.3356,50
370.2351,50
371.1346,50
372.194,50
373.4533,50
374.6327,50
375.7121,50
376.6516,50
377.591,50
378.5305,50
379.43,50
380.3295,50
381.1891,50
382.0886,50
383.0081,50
383.9475,50
384.867,50
385.8865,50
386.8459,50
387.7055,50
388.565,50
389.4045,50
390.324,50
391.2635,50
392.3429,50
393.4623,50
394.4418,50
395.5612,50
396.9004,50
398.1198,50
399.419,50
400.6983,50
401.7378,50
402.7772,50
403.9166,50
404.896,50
405.8755,50
407.0748,50
408.0343,50
409.0737,50
410.0732,50
410.8927,50
411.6923,50
412.5318,50
413.4713,50
414.3308,50
415.1104,50
415.89,50
416.7295,50
417.5491,50
418.4486,50
419.3481,50
420.1676,50
421.2071,50
422.2465,50
423.3859,50
424.5052,50
425.4647,50
426.4442,50
427.3637,50
428.1832,50
428.9828,50
429.7624,50
430.5219,50
431.2815,50
432.1011,50
432.9206,50
433.7402,50
434.5797,50
435.4392,50
436.2188,50
437.0583,50
437.8179,50
438.5575,50
439.2771,50
440.0167,50
440.7963,50
441.5159,50
442.2355,50
442.9551,50
443.7747,50
444.6742,50
445.4937,50
446.3932,50
447.3127,50
448.3921,50
449.4116,50
450.351,50
451.2306,50
452.0701,50
452.8697,50
453.6492,50
454.4688,50
455.2683,50
456.0479,50
456.8275,50
457.647,50
458.4066,50
459.2062,50
459.9658,50
460.7054,50
461.4449,50
462.2245,50
462.9641,50
463.8236,50
464.7231,50
465.6227,50
466.5222,50
467.4017,50
468.2412,50
469.0807,50
469.8603,50
470.6599,50
471.5194,50
472.4189,50
473.5783,50
474.5977,50
475.5372,50
476.3568,50
477.2962,50
478.1358,50
478.9353,50
479.7149,50
480.5145,50
481.2541,50
481.9937,50
482.7133,50
483.4928,50
484.2724,50
485.032,50
485.7716,50
486.5112,50
487.2508,50
488.0503,50
488.8699,50
489.6894,50
490.509,50
491.2885,50
492.0881,50
492.8277,50
493.6073,50
494.4068,50
495.1864,50
495.966,50
496.9254,50
498.1448,50
499.3241,50
500.3436,50
501.303,50
502.2225,50
503.1021,50
504.0215,50
504.8611,50
505.6606,50
506.4202,50
