Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1942.552,1368.353,200,4,1
1816.585,1392.296,200,4,1
2219.018,1354.799,200,4,1
2109.602,1545.385,200,4,1
2003.513,1238.246,200,4,1
2251.611,1492.494,200,4,1
2081.613,1310.276,200,4,1
2372.344,1579.158,200,4,1
1871.277,1300.987,200,4,1
2142.153,1420.944,200,4,1
2058.941,1428.671,200,4,1
2136.393,1364.068,200,4,1
1911.183,1337.402,200,4,1
2251.137,1531.231,200,4,1
2229.612,1422.926,200,4,1
2079.09,1529.51,200,4,1
1817.573,1451.954,200,4,1
2078.225,1415.158,200,4,1
2352.983,1380.164,200,4,1
2239.595,2239.595,200,4,0.755
1860.52,1458,200,4,1
1979.204,1475.517,200,4,1
2360.275,1410.834,200,4,1
2142.099,2142.099,200,4,0.895
2393.445,1443.686,200,4,1
2190.581,1645.583,200,4,1
2044.083,1363.147,200,4,1
2177.756,2022.871,200,4,1
1825.07,1402.125,200,4,1
1896.105,1896.105,200,4,0.72
2381.391,1333.358,200,4,1
2155.825,1748.744,200,4,1
2248.47,1282.969,200,4,1
1956.315,1673.45,200,4,1
2148.112,1262.109,200,4,1
