Elapsed Sec,Evacuee Count
0.6399996,0
7.319993,0
11.32007,0
13.82013,0
15.60017,0
17.0802,0
18.36023,0
19.62026,0
20.72028,0
21.78031,0
22.88033,0
23.92036,0
25.06038,0
26.22041,0
27.36044,0
28.46046,0
29.52048,0
30.58051,0
31.58053,0
32.62056,0
33.78058,0
34.96061,0
36.16064,0
37.28066,0
38.48069,0
39.76072,0
41.12075,0
42.38078,0
43.58081,0
44.78083,0
46.16087,0
47.5209,0
48.68092,0
49.84095,0
50.92097,0
51.981,0
53.02102,0
54.08105,0
55.18107,0
56.1811,0
57.20112,0
58.24114,0
59.30117,0
60.32119,0
61.36121,0
62.42124,0
63.46126,0
64.60117,0
65.80097,0
67.26073,0
68.66049,0
69.98027,0
71.36004,0
72.59983,0
73.83962,0
75.01942,0
76.21922,0
77.31904,0
78.47884,0
79.61865,0
80.71847,0
81.77829,0
82.81812,0
83.85794,0
84.95776,0
86.09756,0
87.17738,0
88.47717,0
89.59698,0
90.69679,0
91.93658,0
93.25636,0
94.61613,0
95.95591,0
97.2157,0
98.4155,0
99.5753,0
100.6751,0
101.8149,0
102.8947,0
104.0945,0
105.3743,0
106.7541,0
108.3338,0
109.8336,0
111.2733,0
112.7931,0
114.1129,0
115.5326,0
116.9924,0
118.5721,0
120.1918,0
121.7716,0
123.2713,0
124.6511,0
125.8909,0
127.1507,0
128.5106,0
129.9709,0
131.2312,0
132.3915,0
133.4517,0
134.6119,0
135.7922,0
136.8124,0
137.8926,0
139.0729,0
140.2531,0
141.6134,0
143.1738,0
144.6941,0
146.2744,0
147.7747,0
149.115,0
150.4953,0
151.6156,0
152.7158,0
153.9561,0
155.0763,0
156.5566,0
157.9569,0
159.2772,0
160.5975,0
161.9178,0
163.138,0
164.3783,0
165.6786,0
166.8788,0
168.4392,0
170.4596,0
172.18,0
173.8403,0
175.2406,0
176.6009,0
177.7612,0
178.9814,0
180.1417,0
181.1819,0
182.2621,0
183.3624,0
184.3226,0
185.4228,0
186.523,0
187.5432,0
188.9635,0
190.4439,0
191.7641,0
193.0644,0
194.6048,0
196.0251,0
197.5854,0
199.0657,0
200.466,0
201.7663,0
202.8665,0
204.0268,0
205.187,0
206.2672,0
207.2875,0
208.2877,0
209.2479,0
210.2681,0
211.3683,0
212.4286,0
213.4888,0
214.489,0
215.5292,0
216.5094,0
217.3896,0
218.2298,0
219.09,0
220.0302,0
220.9904,0
222.0506,0
223.0108,0
223.991,0
224.9112,0
225.8714,0
226.8316,0
227.8118,0
228.772,0
229.7323,0
230.9525,0
231.9527,0
233.053,0
234.0732,0
235.0734,0
236.2937,0
237.2939,0
238.2541,0
239.1943,0
240.1145,0
241.0747,0
242.0349,0
243.0151,0
243.9553,0
244.9955,0
246.0557,0
247.236,0
250.0966,0
251.917,0
253.1773,0
254.3375,0
255.3977,0
256.5576,0
257.597,0
258.5365,0
259.416,0
260.2355,0
261.0351,0
261.8347,0
262.6142,0
263.3538,0
264.0734,0
264.773,0
265.4926,0
266.1923,0
266.8719,0
267.5915,0
268.471,0
269.2906,0
270.1301,0
271.0096,0
271.9291,0
272.9485,0
274.2278,0
275.5071,0
276.7065,0
277.9458,0
278.9652,0
279.8647,0
280.7443,0
281.5438,0
282.3634,0
283.2029,0
283.9625,1
284.7221,3
285.7015,3
286.5811,3
287.4406,3
288.2002,4
289.0797,5
289.9992,5
290.7588,5
291.4984,5
292.3379,5
293.2174,5
294.037,5
294.8165,5
295.716,5
296.6555,5
297.4751,5
298.2746,5
299.2941,5
300.3935,5
301.3529,5
302.3724,6
303.3318,6
304.1914,6
304.9909,7
305.9104,7
306.7899,8
307.5895,9
308.3691,9
309.2286,9
310.0881,9
310.8477,10
311.5873,10
312.6267,11
313.6662,11
314.5257,11
315.3053,11
316.1848,11
317.0643,11
317.9238,11
318.6834,11
319.443,11
320.1626,11
320.8422,11
321.5618,11
322.2814,11
322.981,11
323.7806,11
324.6801,11
325.5996,11
326.4591,11
327.3187,11
328.1582,11
328.9778,11
329.7573,11
330.5169,11
331.2565,11
332.0361,11
333.1954,11
334.1549,11
334.9745,11
335.774,11
336.6335,11
337.4731,11
338.2327,12
338.9723,12
339.7918,12
340.6313,12
341.351,12
342.0306,14
342.7902,14
343.5298,15
344.4093,16
345.4087,16
346.4881,16
347.4876,16
348.3471,16
349.1866,17
350.1461,17
351.1256,17
351.9651,17
352.8446,17
353.8641,17
354.7836,17
355.5432,17
356.2628,17
357.0623,17
357.9618,17
358.7614,17
359.481,17
360.1806,17
360.8802,17
361.5798,17
362.2794,17
362.9791,17
363.6787,17
364.3983,17
365.1179,17
365.7975,17
366.5371,17
367.3966,17
368.2162,17
368.9758,17
369.7154,17
370.5149,17
371.3345,17
372.0741,17
372.7537,17
373.5732,17
374.5127,17
375.3323,18
376.2318,19
377.1513,19
378.0508,19
378.8304,19
379.6099,19
380.4495,19
381.269,19
382.0286,19
382.7482,20
383.5478,20
384.3473,20
385.0669,20
385.7466,20
386.5261,20
387.3857,20
388.1852,20
388.9448,20
389.7444,20
390.5039,20
391.2235,20
391.9631,20
392.9426,20
393.982,20
394.7816,20
395.5412,20
396.3607,20
397.1403,20
397.8799,21
398.6195,21
399.559,21
400.7583,21
401.6578,21
402.5573,22
403.4768,23
404.2764,23
405.0359,23
405.8755,23
406.715,23
407.4146,23
408.1542,23
408.8738,23
409.5934,23
410.313,23
410.9927,23
411.6723,23
412.4119,24
413.1915,24
413.8911,24
414.5707,24
415.2104,24
415.9899,24
416.7695,24
417.4291,24
418.0688,24
418.6685,24
419.2881,24
419.9877,24
420.7273,24
421.407,25
422.0666,25
422.8462,25
423.7657,25
424.6052,26
425.5047,27
426.5441,27
427.5236,28
428.3431,28
429.0627,28
430.0222,28
430.9217,28
431.6613,28
432.3809,28
433.4803,28
434.3798,29
435.1394,29
435.859,29
436.6586,29
437.4581,29
438.1378,29
438.7974,29
439.437,29
440.1167,29
440.7763,29
441.4959,29
442.2155,29
442.8951,29
