Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
2004.292,1553.593,200,4,1
1820.135,1661.799,200,4,1
2032.288,1497.438,200,4,1
2180.464,1635.093,200,4,1
2132.979,1624.482,200,4,1
1891.27,1624.122,200,4,1
1952.346,1637.035,200,4,1
2105.385,1438.061,200,4,1
2118.943,1606.965,200,4,1
1937.782,1415.979,200,4,1
2017.442,1618.697,200,4,1
2348.143,2102.208,200,4,1
2341.518,1496.638,200,4,1
2019.734,1670.848,200,4,1
2246.829,1486.368,200,4,1
2189.857,2189.857,200,4,0.995
2178.389,1979.789,200,4,1
2052.397,1634.492,200,4,1
1845.809,1563.743,200,4,1
2297.267,1647.865,200,4,1
1857.302,1857.302,200,4,0.995
