Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
240,240,208,15,0.9663461
340,328.7779,208,15,1
440,440,208,15,0.9326923
540,540,208,15,0.8846154
640,640,208,15,0.8701923
740,740,208,15,0.9615384
840,840,208,15,0.9423077
940,940,208,15,0.875
1040,1040,208,15,0.8846154
1140,1140,208,15,0.9519231
1240,1240,208,15,0.9567308
1340,1340,208,15,0.9326923
1440,1440,208,15,0.9519231
1540,1540,208,15,0.9951923
1640,1640,208,15,0.9230769
1740,1740,208,15,0.8653846
1800,1800,208,15,0.9567308
1800,1800,208,15,0.9230769
1800,1800,208,15,0.9855769
