Elapsed Sec,Evacuee Count
0.01999999,0
6.699994,0
9.620029,0
11.08006,0
12.04008,0
12.9201,0
13.76012,0
14.62014,0
15.42016,0
16.20018,0
16.9602,0
17.76022,0
18.50023,0
19.28025,0
20.04027,0
20.84029,0
21.6003,0
22.36032,0
23.16034,0
23.96036,0
24.72038,0
25.52039,0
26.32041,0
27.18043,0
28.12045,0
29.10048,0
29.96049,0
30.86052,0
31.86054,0
32.80056,0
33.68058,0
34.5606,0
35.56062,0
36.50064,0
37.34066,0
38.24068,0
39.30071,0
40.40073,0
41.36076,1
42.36078,4
43.3408,11
44.14082,15
44.92084,17
45.78086,17
46.68088,18
47.4609,19
48.16091,19
49.20094,19
50.08096,19
50.84097,19
51.56099,19
52.40101,19
53.20103,19
53.92104,19
54.70106,19
55.52108,19
56.2811,19
57.06112,19
57.82113,19
58.68115,19
59.54117,19
60.30119,19
61.00121,19
61.78122,19
62.60124,19
63.34126,19
64.06126,19
64.82114,19
65.60101,19
66.34088,19
67.04076,19
67.76064,19
68.56051,19
69.42036,19
70.22023,19
70.96011,19
71.81996,19
72.65982,19
73.3997,19
74.11958,19
74.93944,19
75.83929,19
76.59916,19
77.29904,19
78.09891,19
78.87878,19
79.59866,19
80.23855,19
80.89844,19
81.65831,19
82.39819,19
83.03808,19
83.67797,19
84.37785,19
85.15772,19
85.95759,19
86.61748,19
87.27737,19
87.95725,19
88.97708,19
89.75695,19
90.41684,19
91.01674,19
91.75661,19
92.47649,19
93.07639,19
93.6363,19
94.2362,19
94.97607,19
95.73595,19
96.35584,19
96.91575,19
97.49565,19
98.19553,19
98.95541,19
99.63529,19
100.2752,19
100.8551,19
101.595,19
102.3348,19
102.9547,19
103.5346,19
104.0745,19
104.7344,19
105.3943,19
105.9742,19
106.5341,19
107.034,19
107.554,19
108.2139,19
108.8737,19
109.4736,19
109.9936,19
110.5535,19
111.0334,19
111.6733,19
112.3532,19
112.9531,19
113.473,19
114.0129,19
114.5528,19
115.1927,19
