Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (8),3.5,14
147.9748,TowerA (8),3.5,14
161.1976,TowerA (8),3.5,13
175.8808,TowerA (8),3.5,9
186.6431,TowerA (8),3.5,9
195.3249,TowerA (8),3.5,8
203.4666,TowerA (8),3.5,8
210.6682,TowerA (8),3.5,8
217.1696,TowerA (8),3.5,8
223.931,TowerA (8),3.5,8
230.4524,TowerA (8),3.5,8
236.9538,TowerA (8),3.5,8
243.5552,TowerA (8),3.5,8
250.2166,TowerA (8),3.5,8
256.2377,TowerA (8),3.5,8
262.8341,TowerA (8),3.5,8
269.4305,TowerA (8),3.5,8
275.6671,TowerA (8),3.5,8
281.8437,TowerA (8),3.5,8
287.9403,TowerA (8),3.5,8
294.0969,TowerA (8),3.5,8
300.0736,TowerA (8),3.5,8
306.3702,TowerA (8),3.5,8
313.1065,TowerA (8),3.5,8
319.3031,TowerA (8),3.5,8
325.4797,TowerA (8),3.5,8
331.5164,TowerA (8),3.5,8
337.553,TowerA (8),3.5,8
343.6297,TowerA (8),3.5,8
349.7663,TowerA (8),3.5,8
356.4626,TowerA (8),3.5,8
362.7392,TowerA (8),3.5,8
368.9358,TowerA (8),3.5,8
375.0724,TowerA (8),3.5,8
381.0691,TowerA (8),3.5,8
387.2657,TowerA (8),3.5,8
393.3824,TowerA (8),3.5,8
400.3585,TowerA (8),3.5,8
406.835,TowerA (8),3.5,8
413.0116,TowerA (8),3.5,8
419.3881,TowerA (8),3.5,8
425.4847,TowerA (8),3.5,8
431.8412,TowerA (8),3.5,8
438.0778,TowerA (8),3.5,8
444.5542,TowerA (8),3.5,8
450.9707,TowerA (8),3.5,8
457.0873,TowerA (8),3.5,8
463.3639,TowerA (8),3.5,8
469.5805,TowerA (8),3.5,8
475.917,TowerA (8),3.5,8
481.8737,TowerA (8),3.5,8
488.2502,TowerA (8),3.5,8
494.4668,TowerA (8),3.5,8
500.7433,TowerA (8),3.5,8
506.9599,TowerA (8),3.5,8
513.2984,TowerA (8),3.5,8
519.4644,TowerA (8),3.5,8
525.3502,TowerA (8),3.5,8
531.9166,TowerA (8),3.5,8
538.1827,TowerA (8),3.5,8
544.5289,TowerA (8),3.5,8
550.815,TowerA (8),3.5,8
557.1412,TowerA (8),3.5,8
563.4273,TowerA (8),3.5,8
569.6534,TowerA (8),3.5,8
575.9796,TowerA (8),3.5,8
582.1856,TowerA (8),3.5,8
588.5318,TowerA (8),3.5,8
594.6378,TowerA (8),3.5,8
600.9039,TowerA (8),3.5,8
606.9097,TowerA (8),3.5,8
613.0757,TowerA (8),3.5,8
619.462,TowerA (8),3.5,8
625.7281,TowerA (8),3.5,8
632.0342,TowerA (8),3.5,8
638.4605,TowerA (8),3.5,8
644.5865,TowerA (8),3.5,8
650.8926,TowerA (8),3.5,8
657.0186,TowerA (8),3.5,8
663.4649,TowerA (8),3.5,8
669.9913,TowerA (8),3.5,8
675.9571,TowerA (8),3.5,8
682.6036,TowerA (8),3.5,8
688.6295,TowerA (8),3.5,8
694.8355,TowerA (8),3.5,8
701.0616,TowerA (8),3.5,8
707.0875,TowerA (8),3.5,8
713.9141,TowerA (8),3.5,8
720.0801,TowerA (8),3.5,8
726.4864,TowerA (8),3.5,8
732.7125,TowerA (8),3.5,8
738.8585,TowerA (8),3.5,8
745.1446,TowerA (8),3.5,8
751.2706,TowerA (8),3.5,8
757.9171,TowerA (8),3.5,8
764.1431,TowerA (8),3.5,8
770.4293,TowerA (8),3.5,8
776.8355,TowerA (8),3.5,8
783.0015,TowerA (8),3.5,8
789.1075,TowerA (8),3.5,8
795.3736,TowerA (8),3.5,8
802.0601,TowerA (8),3.5,8
808.3663,TowerA (8),3.5,8
814.4922,TowerA (8),3.5,8
820.8184,TowerA (8),3.5,8
826.8443,TowerA (8),3.5,8
832.9302,TowerA (8),3.5,8
839.0762,TowerA (8),3.5,8
845.5025,TowerA (8),3.5,8
851.9688,TowerA (8),3.5,8
858.0948,TowerA (8),3.5,8
864.7813,TowerA (8),3.5,8
871.0274,TowerA (8),3.5,8
877.1334,TowerA (8),3.5,8
883.1793,TowerA (8),3.5,8
889.3653,TowerA (8),3.5,8
895.8316,TowerA (8),3.5,8
902.358,TowerA (8),3.5,8
908.9044,TowerA (8),3.5,8
915.3907,TowerA (8),3.5,8
921.837,TowerA (8),3.5,8
927.983,TowerA (8),3.5,8
934.6895,TowerA (8),3.5,8
941.4761,TowerA (8),3.5,8
947.8824,TowerA (8),3.5,8
954.3687,TowerA (8),3.5,8
960.5547,TowerA (8),3.5,8
966.6607,TowerA (8),3.5,8
