Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
240,240,208,15,0.9278846
340,340,208,15,0.8557692
440,440,208,15,0.7980769
540,540,208,15,0.9711539
640,640,208,15,0.9375
740,740,208,15,0.8173077
840,840,208,15,0.8894231
940,940,208,15,0.8798077
1040,1040,208,15,0.9855769
1140,1140,208,15,0.9855769
1240,584.9283,208,15,1
1340,229.7122,208,15,1
1440,1440,208,15,0.9086539
1540,1540,208,15,0.9471154
1640,1640,208,15,0.9182692
1740,1740,208,15,0.9519231
1800,1800,208,15,0.8365384
1800,1800,208,15,0.9423077
1800,1800,208,15,0.8413461
1800,1800,208,15,0.8798077
1800,1800,208,15,0.9278846
1800,1800,208,15,0.8076923
1800,1800,208,15,0.7644231
1800,1800,208,15,0.7692308
1800,1800,208,15,0.8798077
1800,1800,208,15,0.875
