Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (11),3,13
106.3742,TowerA (4),3,13
402.5573,TowerA (4),3,4
426.6841,TowerA (4),3,4
455.828,TowerA (4),3,4
489.4296,TowerA (4),3,3
528.6734,TowerA (4),3,3
568.5923,TowerA (4),3,3
597.6807,TowerA (13),3,3
928.4634,TowerA (13),3,2
937.6324,TowerA (13),3,2
944.9195,TowerA (13),3,2
950.9654,TowerA (13),3,2
956.691,TowerA (13),3,2
962.2764,TowerA (13),3,2
968.0621,TowerA (13),3,2
973.9478,TowerA (13),3,2
979.6133,TowerA (13),3,2
985.1788,TowerA (13),3,2
991.3448,TowerA (13),3,2
998.1915,TowerA (13),3,2
1004.177,TowerA (13),3,2
1010.523,TowerA (13),3,2
1016.169,TowerA (13),3,2
1020.753,TowerA (13),3,2
1027.22,TowerA (13),3,2
1032.765,TowerA (13),3,2
1038.25,TowerA (13),3,2
1042.334,TowerA (13),3,2
1047.219,TowerA (13),3,2
1052.404,TowerA (13),3,2
1056.869,TowerA (13),3,2
1061.213,TowerA (13),3,2
1066.298,TowerA (13),3,2
1070.862,TowerA (13),3,2
1075.247,TowerA (13),3,2
1079.371,TowerA (13),3,2
1084.015,TowerA (13),3,2
1088.059,TowerA (13),3,2
1092.984,TowerA (13),3,2
1097.488,TowerA (13),3,2
1101.292,TowerA (13),3,2
1105.576,TowerA (13),3,2
1110.541,TowerA (13),3,2
1115.306,TowerA (13),3,2
1119.29,TowerA (13),3,2
1123.153,TowerA (13),3,2
1127.277,TowerA (13),3,2
1131.341,TowerA (13),3,2
1135.005,TowerA (13),3,2
1138.749,TowerA (13),3,2
1142.572,TowerA (13),3,2
1146.136,TowerA (13),3,2
1150.4,TowerA (13),3,2
1155.064,TowerA (13),3,2
1158.988,TowerA (13),3,2
1162.852,TowerA (13),3,2
1166.576,TowerA (13),3,2
1170.5,TowerA (13),3,2
1174.383,TowerA (13),3,2
1177.867,TowerA (13),3,2
1181.35,TowerA (13),3,2
1185.094,TowerA (13),3,2
1189.118,TowerA (10),3,2
1394.999,TowerA (10),3,4
1400.924,TowerA (10),3,4
1407.25,TowerA (10),3,4
1413.697,TowerA (10),3,4
1421.785,TowerA (10),3,4
1428.131,TowerA (10),3,4
1434.217,TowerA (10),3,4
1440.363,TowerA (10),3,4
1446.729,TowerA (10),3,4
1453.135,TowerA (10),3,4
1459.722,TowerA (10),3,4
1466.608,TowerA (10),3,4
1472.754,TowerA (10),3,4
1478.84,TowerA (10),3,4
1484.946,TowerA (10),3,4
1491.172,TowerA (10),3,4
1497.278,TowerA (10),3,4
1503.324,TowerA (10),3,4
1510.151,TowerA (10),3,4
1516.757,TowerA (10),3,4
1523.444,TowerA (10),3,4
1530.331,TowerA (10),3,4
1536.537,TowerA (10),3,4
1542.623,TowerA (10),3,4
1548.849,TowerA (10),3,4
1556.116,TowerA (10),3,4
1562.222,TowerA (10),3,4
1568.468,TowerA (10),3,4
1575.535,TowerA (10),3,4
1581.42,TowerA (10),3,4
1587.646,TowerA (10),3,4
1593.672,TowerA (10),3,3
1599.958,TowerA (10),3,3
1605.824,TowerA (10),3,3
1610.188,TowerA (10),3,3
1615.013,TowerA (10),3,2
1619.077,TowerA (10),3,2
1623.181,TowerA (10),3,2
1627.445,TowerA (10),3,2
1631.589,TowerA (10),3,2
1635.233,TowerA (10),3,1
1638.556,TowerA (10),3,1
1641.439,TowerA (10),3,1
1644.462,TowerA (10),3,1
