Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
240,240,208,15,0.2451923
340,340,208,15,0.2403846
440,440,208,15,0.2451923
540,540,208,15,0.2451923
640,640,208,15,0.5336539
740,740,208,15,0.4855769
840,840,208,15,0.6394231
940,940,208,15,0.4903846
1040,1040,208,15,0.6971154
1140,1140,208,15,0.7403846
1240,1240,208,15,0.8317308
1340,1340,208,15,0.7980769
1440,1440,208,15,0.9663461
1540,1540,208,15,0.9903846
1640,1640,208,15,0.7836539
1740,1322.248,208,15,1
1800,1800,208,15,0.7788461
1800,1474.536,208,15,1
1800,1800,208,15,0.8365384
1800,1800,208,15,0.9663461
1800,1587.046,208,15,1
1800,1800,208,15,0.7740384
1800,1304.831,208,15,1
1800,1800,208,15,0.8990384
