Elapsed Sec,Evacuee Count
0.6199996,0
7.299994,0
9.880035,0
11.34007,0
12.42009,0
13.30011,0
14.22013,0
15.18016,0
16.18018,0
17.1002,0
18.02022,0
18.94024,0
19.86026,0
20.76028,0
21.72031,0
22.64033,0
23.56035,0
24.50037,0
25.40039,0
26.38041,0
27.32043,0
28.26046,0
29.24048,0
30.2205,0
31.10052,0
32.02054,0
32.98056,0
33.96059,0
34.88061,0
35.80063,0
36.80065,0
37.74067,0
38.68069,0
39.64072,0
40.62074,0
41.58076,0
42.66079,0
43.70081,0
44.82084,0
45.86086,0
46.84088,0
48.00091,0
49.04093,0
50.16096,0
51.22098,0
52.241,0
53.24103,0
54.24105,0
55.30107,0
56.3611,0
57.44112,0
58.52115,0
59.54117,0
60.54119,0
61.60122,0
62.60124,0
63.62127,0
64.62117,0
65.58101,0
66.56084,0
67.52068,0
68.6005,0
69.74031,0
70.84013,0
71.85995,0
72.81979,0
73.83962,0
74.81946,0
75.79929,0
76.85912,0
77.87894,0
78.85878,0
79.85861,0
80.89844,0
81.85828,0
82.83811,0
83.91793,0
84.87777,0
85.95759,0
87.0974,0
88.21721,0
89.437,0
90.55682,0
91.61664,0
92.59647,0
93.59631,0
94.57614,0
95.57597,0
96.55581,0
97.61563,0
98.67545,0
99.67529,0
100.7351,0
101.7949,0
102.9147,0
103.9346,0
104.9544,0
105.9742,0
106.9541,0
107.9539,0
108.9737,0
110.0935,0
111.1134,0
112.1732,0
113.213,0
114.2128,0
115.1927,0
116.2125,0
117.1923,0
118.1922,0
119.232,0
120.2518,0
121.2117,0
122.1715,0
123.1913,0
124.1912,0
125.191,0
126.2108,0
127.1907,0
128.3706,0
129.6109,0
130.7711,0
132.0514,0
133.2516,0
134.4519,0
135.6722,0
136.8324,0
137.8326,0
139.0129,0
140.1931,0
141.2934,0
142.4736,0
143.6339,0
144.6741,0
145.9344,0
147.1746,0
148.2549,0
149.4951,0
150.7354,0
151.8156,0
153.0359,0
154.2361,0
155.2563,0
156.4166,0
157.5368,0
158.5571,0
159.7373,0
160.8775,0
161.9378,0
163.058,0
164.2183,0
165.1985,0
166.2787,0
167.459,0
168.4592,0
169.5994,0
170.7597,0
171.6799,0
172.7601,0
173.8603,0
174.8805,0
176.1208,0
177.3411,0
178.4213,0
179.5215,0
180.6818,0
181.642,0
182.7022,0
183.7824,0
184.7827,0
185.7429,0
186.6831,0
187.6433,0
188.6235,0
189.9438,0
191.304,0
192.3643,0
193.5245,0
194.7248,0
195.765,0
196.9453,0
198.1255,0
199.1057,0
200.226,0
201.3062,0
202.3264,0
203.4266,0
204.4669,0
205.3871,0
206.4473,0
207.4875,0
208.4277,0
209.5679,0
210.6882,0
211.7084,0
212.7486,0
213.8289,0
214.7891,0
215.8293,0
216.9295,0
217.9097,0
218.99,0
220.1502,0
221.1704,0
222.3707,0
223.4509,0
224.3911,0
225.4713,0
226.5116,0
227.4118,0
228.2919,0
229.1721,0
230.1323,0
231.1726,0
232.2328,0
233.313,0
234.2132,0
235.1134,0
236.0336,0
236.9738,0
237.894,0
238.9942,0
240.1545,0
241.1547,0
242.0349,0
242.9351,0
243.8553,0
244.7955,0
245.6557,0
246.5158,0
247.396,0
248.2162,1
249.0764,1
250.0366,1
250.9368,1
251.877,1
253.0572,1
254.1575,1
255.0977,1
255.9979,2
256.8974,2
257.7169,2
258.5964,2
259.6758,2
260.6953,2
261.6148,2
262.6342,2
263.6537,2
264.6531,2
265.7725,2
266.9119,2
267.9313,2
268.9707,2
270.0701,2
271.2495,2
272.189,2
273.0485,2
273.928,2
274.8275,2
275.747,2
276.6265,2
277.4661,2
278.4055,2
279.325,2
280.2445,2
281.164,2
282.0635,3
283.2029,3
284.3423,3
285.3417,4
286.4211,5
287.5405,5
288.54,7
289.6794,7
290.8587,7
291.8781,7
293.1974,7
294.3368,8
295.3163,9
296.4556,11
297.595,14
298.5545,14
299.6139,15
300.7333,16
301.6328,16
302.6722,16
303.6917,16
304.5712,16
305.4307,17
306.4102,17
307.3896,17
308.2891,17
309.1886,17
310.2281,17
311.3275,17
312.2469,17
313.2064,17
314.1659,17
315.0454,17
315.865,17
316.7245,17
317.584,17
318.4236,17
319.2631,17
320.1226,17
320.9622,17
321.8017,18
