Elapsed Sec,Evacuee Count
0.6199996,0
7.299994,0
9.880035,0
11.34007,0
12.42009,0
13.30011,0
14.22013,0
15.18016,0
16.18018,0
17.1002,0
18.02022,0
18.94024,0
19.86026,0
20.76028,0
21.72031,0
22.64033,0
23.56035,0
24.50037,0
25.40039,0
26.38041,0
27.32043,0
28.26046,0
29.24048,0
30.2205,0
31.10052,0
32.02054,0
32.98056,0
33.96059,0
34.88061,0
35.80063,0
36.80065,0
37.74067,0
38.68069,0
39.64072,0
40.62074,0
41.58076,0
42.66079,0
43.70081,0
44.82084,0
45.86086,0
46.84088,0
48.00091,0
49.04093,0
50.16096,0
51.22098,0
52.241,0
53.24103,0
54.24105,0
55.30107,0
56.3611,0
57.44112,0
58.52115,0
59.54117,0
60.54119,0
61.60122,0
62.60124,0
63.62127,0
64.62117,0
65.58101,0
66.56084,0
67.52068,0
68.6005,0
69.74031,0
70.84013,0
71.85995,0
72.81979,0
73.83962,0
74.81946,0
75.79929,0
76.85912,0
77.87894,0
78.85878,0
79.85861,0
80.89844,0
81.85828,0
82.83811,0
83.91793,0
84.87777,0
85.95759,0
87.0974,0
88.21721,0
89.437,0
90.55682,0
91.61664,0
92.59647,0
93.59631,0
94.57614,0
95.57597,0
96.55581,0
97.61563,0
98.67545,0
99.67529,0
100.7351,0
101.7949,0
102.9147,0
103.9346,0
104.9544,0
105.9742,0
106.9541,0
107.9539,0
108.9737,0
110.0935,0
111.1134,0
112.1732,0
113.213,0
114.2128,0
115.1927,0
116.2125,0
117.1923,0
118.1922,0
119.232,0
120.2518,0
121.2117,0
122.1715,0
123.1913,0
124.1912,0
125.191,0
126.2108,0
127.1907,0
128.3706,0
129.6109,0
130.7711,0
132.0514,0
133.2516,0
134.4519,0
135.6722,0
136.8324,0
137.8326,0
139.0129,0
140.1931,0
141.2934,0
142.4736,0
143.6339,0
144.6741,0
145.9344,0
147.1746,0
148.2549,0
149.4951,0
150.7354,0
151.8156,0
153.0359,0
154.2361,1
155.2563,1
156.4166,1
157.5368,2
158.5571,4
159.7373,5
160.8775,5
161.9378,5
163.058,5
164.2183,6
165.1985,6
166.2787,8
167.459,8
168.4592,9
169.5994,9
170.7597,9
171.6799,9
172.7601,10
173.8603,10
174.8805,11
176.1208,11
177.3411,11
178.4213,12
179.5215,12
180.6818,12
181.642,12
182.7022,12
183.7824,12
184.7827,12
185.7429,13
186.6831,14
187.6433,14
188.6235,15
189.9438,15
191.304,18
192.3643,18
193.5245,20
194.7248,20
195.765,20
196.9453,20
198.1255,21
199.1057,23
200.226,23
201.3062,24
202.3264,25
203.4266,25
204.4669,25
205.3871,25
206.4473,26
207.4875,26
208.4277,27
209.5679,27
210.6882,27
211.7084,28
212.7486,28
213.8289,28
214.7891,29
215.8293,29
216.9295,30
217.9097,30
218.99,31
220.1502,31
221.1704,32
222.3707,32
223.4509,32
224.3911,32
225.4713,32
226.5116,32
227.4118,32
228.2919,33
229.1721,33
230.1323,34
231.1726,34
232.2328,34
233.313,34
234.2132,34
235.1134,35
236.0336,35
236.9738,35
237.894,35
238.9942,35
240.1545,35
241.1547,35
242.0349,35
242.9351,35
243.8553,35
244.7955,35
245.6557,35
246.5158,35
247.396,35
248.2162,35
249.0764,36
250.0366,36
250.9368,36
251.877,36
253.0572,36
254.1575,36
255.0977,36
255.9979,36
256.8974,36
257.7169,36
258.5964,36
259.6758,36
260.6953,37
261.6148,38
262.6342,38
263.6537,38
264.6531,38
265.7725,39
266.9119,39
267.9313,39
268.9707,39
270.0701,39
271.2495,39
272.189,39
273.0485,39
273.928,39
274.8275,39
275.747,39
276.6265,39
277.4661,39
278.4055,39
279.325,39
280.2445,39
281.164,40
282.0635,40
283.2029,41
284.3423,41
285.3417,41
286.4211,41
287.5405,41
288.54,41
289.6794,41
290.8587,41
291.8781,41
293.1974,41
294.3368,41
295.3163,41
296.4556,41
297.595,41
298.5545,41
299.6139,41
300.7333,41
301.6328,41
302.6722,41
303.6917,41
304.5712,42
305.4307,42
306.4102,42
307.3896,43
308.2891,43
309.1886,43
310.2281,43
311.3275,43
312.2469,43
313.2064,43
314.1659,43
315.0454,43
315.865,43
316.7245,43
317.584,43
318.4236,43
319.2631,43
320.1226,43
320.9622,43
321.8017,43
