Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerD,3.5,42
248.0762,TowerD,3.5,42
282.7232,TowerD,3.5,42
328.7179,TowerD,3.5,38
357.0823,TowerC,3.5,30
454.7486,TowerC,3.5,24
455.5482,TowerC,3.5,24
456.2878,TowerC,3.5,24
457.0873,TowerC,3.5,24
457.8869,TowerC,3.5,24
458.6665,TowerC,3.5,24
459.4261,TowerC,3.5,24
460.1057,TowerC,3.5,24
460.7853,TowerC,3.5,24
461.4449,TowerC,3.5,24
462.1845,TowerC,3.5,24
462.8842,TowerC,3.5,24
463.5638,TowerC,3.5,24
464.2434,TowerC,3.5,24
464.903,TowerC,3.5,24
465.6027,TowerC,3.5,24
466.2823,TowerC,3.5,24
466.9619,TowerC,3.5,24
467.6815,TowerC,3.5,24
468.3611,TowerC,3.5,24
469.0807,TowerC,3.5,24
469.7404,TowerC,3.5,24
470.44,TowerC,3.5,24
471.1396,TowerC,3.5,24
471.8592,TowerC,3.5,24
472.5988,TowerC,3.5,24
473.2784,TowerC,3.5,24
473.9781,TowerC,3.5,24
474.6577,TowerC,3.5,24
475.3773,TowerC,3.5,24
476.0969,TowerC,3.5,24
476.7965,TowerC,3.5,24
477.4761,TowerC,3.5,24
478.1358,TowerC,3.5,24
478.7954,TowerC,3.5,24
479.495,TowerC,3.5,24
480.2346,TowerC,3.5,23
481.6339,TowerC,3.5,23
483.0531,TowerC,3.5,23
484.0125,TowerC,3.5,23
485.4318,TowerC,3.5,23
486.4712,TowerC,3.5,22
487.3307,TowerC,3.5,22
488.2102,TowerC,3.5,21
489.1297,TowerC,3.5,21
489.8293,TowerC,3.5,21
490.5889,TowerC,3.5,20
491.5284,TowerC,3.5,19
492.4279,TowerC,3.5,17
493.2075,TowerC,3.5,16
493.9871,TowerC,3.5,16
494.8866,TowerA,3.5,15
806.3843,TowerA,3.5,2
807.045,TowerA,3.5,2
808.1461,TowerA,3.5,2
808.8868,TowerA,3.5,2
809.5875,TowerA,3.5,2
810.2681,TowerA,3.5,2
811.4693,TowerA,3.5,2
812.2501,TowerA,3.5,2
812.9307,TowerA,3.5,2
813.6314,TowerA,3.5,2
814.9527,TowerA,3.5,2
815.7935,TowerA,3.5,2
816.5543,TowerA,3.5,2
817.9156,TowerA,3.5,2
819.2569,TowerA,3.5,2
820.0377,TowerA,3.5,2
820.7183,TowerA,3.5,2
821.379,TowerA,3.5,2
822.5001,TowerA,3.5,2
823.7613,TowerA,3.5,2
824.522,TowerA,3.5,2
825.7032,TowerA,3.5,2
826.4839,TowerA,3.5,2
827.605,TowerA,3.5,2
828.9063,TowerA,3.5,2
829.7071,TowerA,3.5,2
830.3277,TowerA,3.5,2
830.9683,TowerA,3.5,2
831.669,TowerA,3.5,2
832.8502,TowerA,3.5,2
834.0714,TowerA,3.5,2
834.8922,TowerA,3.5,2
835.5928,TowerA,3.5,2
836.2535,TowerA,3.5,2
837.4146,TowerA,3.5,2
838.6758,TowerA,3.5,2
839.4166,TowerA,3.5,2
840.0772,TowerA,3.5,2
840.7178,TowerA,3.5,2
842.0191,TowerA,3.5,2
843.3204,TowerA,3.5,2
844.1212,TowerA,3.5,2
845.2222,TowerA,3.5,2
846.043,TowerA,3.5,2
846.7637,TowerA,3.5,2
847.8848,TowerA,3.5,2
849.126,TowerA,3.5,2
849.9669,TowerA,3.5,2
850.6475,TowerA,3.5,2
851.2881,TowerA,3.5,2
852.7095,TowerA,3.5,2
854.211,TowerA,3.5,2
855.0518,TowerA,3.5,2
856.4332,TowerA,3.5,2
857.4341,TowerA,3.5,2
858.6553,TowerA,3.5,2
860.2169,TowerA,3.5,2
861.2979,TowerA,3.5,2
862.0386,TowerA,3.5,2
862.8194,TowerA,3.5,2
863.5401,TowerA,3.5,2
864.7213,TowerA,3.5,2
866.0425,TowerA,3.5,2
867.0035,TowerA,3.5,2
867.8443,TowerA,3.5,2
868.5049,TowerA,3.5,2
869.6461,TowerA,3.5,2
870.9073,TowerA,3.5,2
871.688,TowerA,3.5,2
872.3487,TowerA,3.5,2
872.9893,TowerA,3.5,2
874.2706,TowerA,3.5,2
875.7921,TowerA,3.5,2
876.6529,TowerA,3.5,2
877.9542,TowerA,3.5,2
878.855,TowerA,3.5,2
879.5557,TowerA,3.5,2
880.857,TowerA,3.5,2
882.1783,TowerA,3.5,2
882.959,TowerA,3.5,2
883.6397,TowerA,3.5,2
884.2803,TowerA,3.5,2
885.6216,TowerA,3.5,2
887.2432,TowerA,3.5,2
888.1041,TowerA,3.5,2
889.2652,TowerA,3.5,2
890.0259,TowerA,3.5,2
891.147,TowerA,3.5,2
892.5484,TowerA,3.5,2
893.4893,TowerA,3.5,2
894.21,TowerA,3.5,2
895.0108,TowerA,3.5,2
895.8516,TowerA,3.5,2
897.1129,TowerA,3.5,2
898.3541,TowerA,3.5,2
899.1548,TowerA,3.5,2
899.8355,TowerA,3.5,2
900.4561,TowerA,3.5,2
901.5972,TowerA,3.5,2
902.8785,TowerA,3.5,2
903.6592,TowerA,3.5,2
904.3799,TowerA,3.5,2
905.1006,TowerA,3.5,2
906.5421,TowerA,3.5,2
908.1837,TowerA,3.5,2
909.545,TowerA,3.5,2
910.3458,TowerA,3.5,2
911.0665,TowerA,3.5,2
912.2476,TowerA,3.5,2
913.4688,TowerA,3.5,2
914.1895,TowerA,3.5,2
914.8502,TowerA,3.5,2
915.5108,TowerA,3.5,2
916.5919,TowerA,3.5,2
917.8731,TowerA,3.5,2
918.7139,TowerA,3.5,2
