Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA,3,58
95.87592,TowerD,3,58
547.8521,TowerD,3,4
548.8531,TowerD,3,4
549.8941,TowerD,3,4
550.9151,TowerD,3,4
551.9361,TowerD,3,4
552.9771,TowerD,3,4
554.1182,TowerD,3,4
555.3995,TowerD,3,4
556.5005,TowerD,3,4
557.5816,TowerD,3,4
558.6627,TowerD,3,4
559.7437,TowerD,3,4
560.8248,TowerD,3,4
561.8858,TowerD,3,4
562.9468,TowerD,3,4
563.9278,TowerD,3,4
564.9088,TowerD,3,4
565.9297,TowerD,3,4
566.9708,TowerD,3,4
567.9517,TowerD,3,4
568.9327,TowerD,3,4
569.8736,TowerD,3,4
570.8546,TowerD,3,4
571.8155,TowerD,3,4
572.7764,TowerD,3,4
573.7774,TowerD,3,4
574.7183,TowerD,3,4
575.7794,TowerD,3,4
576.7803,TowerD,3,4
577.7813,TowerD,3,4
578.7823,TowerD,3,4
579.8834,TowerD,3,4
581.0045,TowerD,3,4
582.1456,TowerD,3,4
583.2266,TowerD,3,4
584.2676,TowerD,3,4
585.3087,TowerD,3,4
586.2496,TowerD,3,4
587.2906,TowerD,3,4
588.3516,TowerD,3,4
589.3326,TowerD,3,4
590.3336,TowerD,3,4
591.3145,TowerD,3,4
592.3355,TowerD,3,4
593.3165,TowerD,3,4
594.4376,TowerD,3,4
595.5386,TowerD,3,4
596.5997,TowerD,3,4
597.6207,TowerD,3,4
598.9019,TowerD,3,4
600.1631,TowerD,3,4
601.2642,TowerD,3,4
602.4454,TowerD,3,4
603.5665,TowerD,3,4
604.5875,TowerD,3,4
605.6085,TowerD,3,4
606.6695,TowerD,3,4
607.6905,TowerD,3,4
608.8917,TowerD,3,4
610.1329,TowerD,3,4
611.1539,TowerD,3,4
612.0948,TowerD,3,4
613.1358,TowerD,3,4
614.1368,TowerD,3,4
615.1378,TowerD,3,4
616.1187,TowerD,3,4
617.1397,TowerD,3,4
618.1207,TowerD,3,4
619.1216,TowerD,3,4
620.3428,TowerD,3,4
621.544,TowerD,3,4
622.545,TowerD,3,4
623.7862,TowerD,3,4
625.0674,TowerD,3,4
626.1885,TowerD,3,4
627.4698,TowerD,3,4
628.711,TowerD,3,4
629.752,TowerD,3,4
630.9332,TowerD,3,4
632.1744,TowerD,3,4
633.2755,TowerD,3,4
634.5367,TowerD,3,4
635.7579,TowerD,3,4
636.8189,TowerD,3,4
638.0801,TowerD,3,4
639.3013,TowerD,3,4
640.3624,TowerD,3,4
641.3233,TowerD,3,4
642.2842,TowerD,3,4
643.3052,TowerD,3,4
644.2862,TowerD,3,4
645.3672,TowerD,3,4
646.5284,TowerD,3,4
647.5494,TowerD,3,4
648.6905,TowerD,3,4
649.9117,TowerD,3,4
650.9727,TowerD,3,4
652.1739,TowerD,3,4
653.335,TowerD,3,4
654.4161,TowerD,3,4
655.5972,TowerD,3,4
656.7383,TowerD,3,4
657.7593,TowerD,3,4
658.9205,TowerD,3,4
660.1617,TowerD,3,4
661.2628,TowerD,3,4
662.4439,TowerD,3,4
663.565,TowerD,3,4
664.6461,TowerD,3,4
665.6671,TowerD,3,4
666.588,TowerD,3,4
667.5889,TowerD,3,4
668.6299,TowerD,3,4
669.8712,TowerD,3,4
671.1924,TowerD,3,4
672.3936,TowerD,3,4
673.6348,TowerD,3,4
674.836,TowerD,3,4
675.837,TowerD,3,4
676.938,TowerD,3,4
678.0591,TowerD,3,4
679.0801,TowerD,3,4
680.1212,TowerD,3,4
681.1221,TowerD,3,4
682.1431,TowerD,3,4
683.2442,TowerD,3,4
684.4254,TowerC,3,4
780.0186,TowerC,3,4
800.2584,TowerC,3,4
812.4102,TowerB,3,3
1197.085,TowerB,3,2
1204.893,TowerB,3,2
1213.622,TowerB,3,2
1221.95,TowerB,3,2
1230.558,TowerB,3,2
1238.826,TowerB,3,2
1247.875,TowerB,3,2
1256.924,TowerB,3,2
1265.532,TowerB,3,2
1274.041,TowerB,3,2
1282.569,TowerB,3,2
1291.377,TowerB,3,2
1300.226,TowerB,3,2
1309.455,TowerB,3,2
1318.144,TowerB,3,2
1327.393,TowerB,3,2
1335.741,TowerB,3,2
1343.929,TowerB,3,2
1352.617,TowerB,3,2
1360.405,TowerB,3,2
1368.593,TowerB,3,2
1376.2,TowerB,3,2
1384.208,TowerB,3,2
1392.716,TowerB,3,2
1399.363,TowerB,3,2
1406.35,TowerB,3,2
1413.417,TowerB,3,2
1420.223,TowerB,3,2
1427.37,TowerB,3,2
1434.497,TowerB,3,2
1441.464,TowerB,3,2
1448.711,TowerB,3,2
1455.057,TowerB,3,2
1460.843,TowerB,3,2
1466.648,TowerB,3,2
1472.634,TowerB,3,2
1479.201,TowerB,3,2
1485.227,TowerB,3,2
1491.112,TowerB,3,2
1497.058,TowerB,3,2
1503.044,TowerB,3,2
1508.89,TowerB,3,2
1513.834,TowerB,3,2
1518.879,TowerB,3,2
1525.146,TowerB,3,2
1530.751,TowerB,3,2
1536.076,TowerB,3,2
1541.061,TowerB,3,2
1546.546,TowerB,3,2
1550.871,TowerB,3,1
