Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
240,240,208,17,0.4471154
340,340,208,17,0.5288461
440,440,208,17,0.5096154
540,540,208,17,0.4326923
640,640,208,17,0.5384616
740,740,208,17,0.4471154
840,840,208,17,0.4615385
940,940,208,17,0.4086539
1040,1040,208,17,0.5144231
1140,1140,208,17,0.4855769
1240,1240,208,17,0.5480769
1340,1340,208,17,0.3509615
1440,1440,208,17,0.4278846
1540,1540,208,17,0.4326923
1640,1640,208,17,0.6057692
1740,1740,208,17,0.4519231
1800,1800,208,17,0.4375
