Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
240,240,208,17,0.7548077
340,340,208,17,0.7884616
440,440,208,17,0.8125
540,540,208,17,0.8942308
640,640,208,17,0.8942308
740,740,208,17,0.8701923
840,840,208,17,0.8076923
940,940,208,17,0.9086539
1040,1040,208,17,0.9086539
1140,1140,208,17,0.875
1240,1240,208,17,0.7836539
1340,1340,208,17,0.9134616
1440,1440,208,17,0.9375
1540,1540,208,17,0.9326923
1640,1640,208,17,0.9567308
1740,1740,208,17,0.9567308
1800,1800,208,17,0.8798077
