Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerD,3.5,63
272.7886,TowerD,3.5,63
274.3078,TowerD,3.5,63
275.6271,TowerD,3.5,63
276.8064,TowerD,3.5,63
278.0857,TowerD,3.5,63
279.3051,TowerD,3.5,63
280.4644,TowerD,3.5,63
281.6438,TowerD,3.5,63
282.8431,TowerD,3.5,63
283.9025,TowerD,3.5,63
284.9819,TowerD,3.5,63
286.0613,TowerD,3.5,63
287.1208,TowerD,3.5,63
288.3601,TowerD,3.5,63
289.6394,TowerD,3.5,63
290.7787,TowerD,3.5,63
292.078,TowerD,3.5,63
293.2574,TowerD,3.5,63
294.4367,TowerD,3.5,63
295.6361,TowerD,3.5,63
296.9154,TowerD,3.5,63
298.0547,TowerD,3.5,63
299.2941,TowerD,3.5,63
300.4934,TowerD,3.5,63
301.5928,TowerD,3.5,63
302.7522,TowerD,3.5,63
304.0515,TowerD,3.5,63
305.1109,TowerD,3.5,63
306.3102,TowerD,3.5,63
307.5295,TowerD,3.5,63
308.6889,TowerD,3.5,63
309.8882,TowerD,3.5,63
311.1476,TowerD,3.5,63
312.3269,TowerD,3.5,63
313.7861,TowerD,3.5,63
315.1653,TowerD,3.5,58
316.4247,TowerD,3.5,56
317.8039,TowerC,3.5,55
411.3125,TowerC,3.5,39
440.2566,TowerC,3.5,33
466.3822,TowerA,3.5,7
781.5601,TowerA,3.5,7
804.983,TowerA,3.5,7
828.2056,TowerA,3.5,7
851.9288,TowerA,3.5,7
874.0904,TowerA,3.5,7
894.2901,TowerA,3.5,7
912.9883,TowerA,3.5,7
934.8096,TowerA,3.5,7
951.5059,TowerA,3.5,7
967.1011,TowerA,3.5,7
981.2149,TowerA,3.5,7
994.3878,TowerA,3.5,7
1006.52,TowerB,3.5,7
1075.407,TowerB,3.5,8
1085.617,TowerB,3.5,8
1095.646,TowerB,3.5,8
1106.557,TowerB,3.5,8
1116.527,TowerB,3.5,7
1127.498,TowerB,3.5,7
1137.888,TowerB,3.5,7
1148.218,TowerB,3.5,7
1158.007,TowerB,3.5,7
1167.537,TowerB,3.5,7
1177.847,TowerB,3.5,7
1186.555,TowerB,3.5,7
1194.363,TowerB,3.5,7
1202.271,TowerB,3.5,7
1209.918,TowerB,3.5,7
1217.025,TowerB,3.5,7
1224.993,TowerB,3.5,6
1232.02,TowerB,3.5,5
1239.167,TowerB,3.5,4
1245.653,TowerB,3.5,4
1252.56,TowerB,3.5,2
1258.866,TowerB,3.5,2
1265.232,TowerB,3.5,2
1271.198,TowerB,3.5,2
1277.744,TowerB,3.5,2
1282.989,TowerB,3.5,2
1288.154,TowerB,3.5,1
1293.039,TowerB,3.5,1
1298.504,TowerB,3.5,1
1302.849,TowerB,3.5,1
1307.133,TowerB,3.5,1
1310.997,TowerB,3.5,1
1314.96,TowerB,3.5,1
1319.004,TowerB,3.5,1
1322.988,TowerB,3.5,1
1327.333,TowerB,3.5,1
1330.756,TowerB,3.5,1
